,Symbol,Series,Type,YTM,Coupon,FaceValue,PresentValue,Maturity
0,HUDCO,N3,Tax Free,6.46,8.10,1000,"1,093.50",7
1,RECLTD,N2,Tax Free,4.86,7.38,1000,"1,218.95",11
2,NHAI,NE,Tax Free,4.91,7.69,1000,"1,305.00",15
3,PFC,N4,Tax Free,6.84,8.20,1000,"1,122.01",13
4,IRFC,NJ,Tax Free,4.95,7.53,1000,"1,282.00",15
5,IRFC,N1,Tax Free,6.29,8.00,1000,"1,120.00",9
6,PFC,N5,Tax Free,4.73,8.30,1000,"1,264.99",9
7,RECLTD,NI,Tax Free,5.62,8.12,1000,"1,210.00",11
8,IRFC,N4,Tax Free,5.2,7.34,1000,"1,220.00",14
9,HUDCO,N6,Tax Free,4.56,7.03,1000,"1,090.60",4
