1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
7.9,8.06,7.72,7.98,7.84,7.54
8.81,8.97,8.62,0.0,0.0,0.0
7.78,8.06,7.72,8.08,8.04,0.0
8.11,8.16,7.84,8.14,0.0,0.0
-15.95,8.53,8.27,0.0,0.0,0.0
-15.72,8.25,7.75,7.76,0.0,0.0
7.68,-13.02,-8.1,-0.68,0.0,0.0
8.58,-12.78,-7.81,0.0,0.0,0.0
7.07,-13.02,-8.14,-0.93,0.0,0.0
6.82,0.0,0.0,0.0,0.0,0.0
7.48,0.0,0.0,0.0,0.0,0.0
7.18,0.0,0.0,0.0,0.0,0.0
-1.86,7.39,7.22,7.69,0.0,0.0
-2.64,8.25,8.03,0.0,0.0,0.0
-3.71,8.11,7.79,7.98,0.0,0.0
-3.36,7.62,7.57,0.0,0.0,0.0
7.78,7.36,7.33,7.9,7.98,0.0
8.43,8.18,7.98,0.0,0.0,0.0
3.59,7.86,7.65,0.0,0.0,0.0
4.44,-2.97,0.34,0.0,0.0,0.0
8.44,-3.75,-0.4,2.7,0.0,0.0
8.54,-3.71,-0.31,2.62,0.0,0.0
7.68,2.1,4.24,6.81,0.0,0.0
7.44,2.47,4.61,0.0,0.0,0.0
7.74,0.0,0.0,0.0,0.0,0.0
8.07,0.0,0.0,0.0,0.0,0.0
17.85,7.82,7.5,7.71,7.65,7.41
17.97,8.47,8.17,0.0,0.0,0.0
8.48,1.6,2.87,0.0,0.0,0.0
9.3,2.42,3.72,0.0,0.0,0.0
7.58,1.3,2.56,4.87,0.0,0.0
8.14,8.45,8.14,8.5,8.39,0.0
7.28,8.57,8.27,0.0,0.0,0.0
7.86,8.05,7.91,0.0,0.0,0.0
7.76,7.82,7.69,8.24,0.0,0.0
6.88,8.1,7.77,8.09,0.0,0.0
7.03,8.43,8.13,0.0,0.0,0.0
6.4,7.46,7.17,7.41,0.0,0.0
7.81,10.06,7.71,7.66,0.0,0.0
8.46,10.17,7.82,0.0,0.0,0.0
9.74,8.27,8.02,8.34,0.0,0.0
10.57,9.08,8.83,0.0,0.0,0.0
5.57,6.04,6.22,7.0,7.12,0.0
5.75,6.59,6.83,0.0,0.0,0.0
7.24,6.4,6.79,0.0,0.0,0.0
7.88,6.94,7.29,0.0,0.0,0.0
7.3,8.12,0.0,0.0,0.0,0.0
6.82,7.21,0.0,0.0,0.0,0.0
8.0,7.17,7.1,0.0,0.0,0.0
7.83,6.49,6.39,0.0,0.0,0.0
7.92,7.36,7.28,7.89,0.0,0.0
7.82,7.87,7.73,0.0,0.0,0.0
